PING 189.128.223.228 (189.128.223.228) 56(84) bytes of data.
64 bytes from 189.128.223.228: icmp_seq=71 ttl=64 time=1.17 ms
64 bytes from 189.128.223.228: icmp_seq=72 ttl=64 time=1.29 ms
64 bytes from 189.128.223.228: icmp_seq=73 ttl=64 time=1.26 ms
64 bytes from 189.128.223.228: icmp_seq=74 ttl=64 time=1.31 ms
64 bytes from 189.128.223.228: icmp_seq=75 ttl=64 time=1.23 ms
64 bytes from 189.128.223.228: icmp_seq=76 ttl=64 time=1.29 ms
64 bytes from 189.128.223.228: icmp_seq=77 ttl=64 time=0.791 ms
64 bytes from 189.128.223.228: icmp_seq=78 ttl=64 time=1.29 ms
64 bytes from 189.128.223.228: icmp_seq=79 ttl=64 time=1.23 ms
64 bytes from 189.128.223.228: icmp_seq=80 ttl=64 time=1.39 ms
64 bytes from 189.128.223.228: icmp_seq=81 ttl=64 time=1.20 ms
64 bytes from 189.128.223.228: icmp_seq=82 ttl=64 time=1.06 ms
64 bytes from 189.128.223.228: icmp_seq=83 ttl=64 time=0.928 ms
64 bytes from 189.128.223.228: icmp_seq=84 ttl=64 time=0.563 ms
64 bytes from 189.128.223.228: icmp_seq=85 ttl=64 time=1.75 ms
64 bytes from 189.128.223.228: icmp_seq=86 ttl=64 time=1.27 ms
64 bytes from 189.128.223.228: icmp_seq=87 ttl=64 time=1.38 ms
64 bytes from 189.128.223.228: icmp_seq=88 ttl=64 time=1.39 ms
64 bytes from 189.128.223.228: icmp_seq=89 ttl=64 time=1.24 ms
64 bytes from 189.128.223.228: icmp_seq=90 ttl=64 time=1.18 ms
64 bytes from 189.128.223.228: icmp_seq=91 ttl=64 time=0.930 ms
64 bytes from 189.128.223.228: icmp_seq=92 ttl=64 time=0.881 ms
64 bytes from 189.128.223.228: icmp_seq=93 ttl=64 time=1.29 ms
64 bytes from 189.128.223.228: icmp_seq=94 ttl=64 time=1.25 ms
64 bytes from 189.128.223.228: icmp_seq=95 ttl=64 time=1.23 ms
64 bytes from 189.128.223.228: icmp_seq=96 ttl=64 time=1.30 ms
64 bytes from 189.128.223.228: icmp_seq=97 ttl=64 time=1.10 ms
64 bytes from 189.128.223.228: icmp_seq=98 ttl=64 time=1.04 ms
64 bytes from 189.128.223.228: icmp_seq=99 ttl=64 time=2.15 ms
64 bytes from 189.128.223.228: icmp_seq=100 ttl=64 time=1.29 ms
64 bytes from 189.128.223.228: icmp_seq=101 ttl=64 time=1.36 ms
64 bytes from 189.128.223.228: icmp_seq=102 ttl=64 time=1.27 ms
64 bytes from 189.128.223.228: icmp_seq=103 ttl=64 time=1.25 ms
64 bytes from 189.128.223.228: icmp_seq=104 ttl=64 time=1.23 ms
64 bytes from 189.128.223.228: icmp_seq=105 ttl=64 time=1.28 ms
64 bytes from 189.128.223.228: icmp_seq=106 ttl=64 time=0.709 ms
64 bytes from 189.128.223.228: icmp_seq=107 ttl=64 time=7.77 ms
64 bytes from 189.128.223.228: icmp_seq=108 ttl=64 time=1.77 ms
64 bytes from 189.128.223.228: icmp_seq=109 ttl=64 time=1.32 ms
64 bytes from 189.128.223.228: icmp_seq=110 ttl=64 time=0.800 ms
64 bytes from 189.128.223.228: icmp_seq=111 ttl=64 time=1.24 ms
64 bytes from 189.128.223.228: icmp_seq=112 ttl=64 time=1.09 ms
64 bytes from 189.128.223.228: icmp_seq=113 ttl=64 time=1.29 ms
64 bytes from 189.128.223.228: icmp_seq=114 ttl=64 time=0.831 ms
64 bytes from 189.128.223.228: icmp_seq=115 ttl=64 time=1.24 ms
64 bytes from 189.128.223.228: icmp_seq=116 ttl=64 time=1.22 ms
64 bytes from 189.128.223.228: icmp_seq=117 ttl=64 time=0.663 ms
64 bytes from 189.128.223.228: icmp_seq=118 ttl=64 time=1.26 ms
64 bytes from 189.128.223.228: icmp_seq=119 ttl=64 time=1.24 ms
64 bytes from 189.128.223.228: icmp_seq=120 ttl=64 time=1.12 ms
64 bytes from 189.128.223.228: icmp_seq=121 ttl=64 time=2.38 ms
64 bytes from 189.128.223.228: icmp_seq=122 ttl=64 time=1.32 ms
64 bytes from 189.128.223.228: icmp_seq=123 ttl=64 time=2.21 ms
64 bytes from 189.128.223.228: icmp_seq=124 ttl=64 time=0.827 ms

--- 189.128.223.228 ping statistics ---
124 packets transmitted, 124 received, 0% packet loss, time 123143ms
rtt min/avg/max/mdev = 0.563/1.401/11.952/1.341 ms
